,Energy [MeV],Probability density [#/MeV/nt]
0,0.0,0.0
1,0.0001,0.0
2,0.00011,0.0
3,0.00012,0.0
4,0.00013,0.0
5,0.00014,0.0
6,0.00015,0.0
7,0.00016,0.0
8,0.00018,0.0
9,0.0002,0.0
10,0.00022,0.0
11,0.00024,0.0
12,0.00026,0.0
13,0.00028,0.0
14,0.0003,0.0
15,0.00032,4.22e-27
16,0.00036,2.523e-25
17,0.0004,9.719e-24
18,0.00045,5.658e-22
19,0.0005,2.039e-20
20,0.00055,4.8e-19
21,0.0006,7.717e-18
22,0.00065,8.85e-17
23,0.0007,7.548e-16
24,0.00075,4.98e-15
25,0.0008,2.632e-14
26,0.00085,1.15e-13
27,0.0009,4.266e-13
28,0.001,3.925e-12
29,0.0011,2.37e-11
30,0.0012,1.042e-10
31,0.0013,3.591e-10
32,0.0014,1.025e-09
33,0.0015,2.52e-09
34,0.0016,5.498e-09
35,0.0018,1.992e-08
36,0.002,5.524e-08
37,0.0022,1.268e-07
38,0.0024,2.535e-07
39,0.0026,4.565e-07
40,0.0028,7.581e-07
41,0.003,1.181e-06
42,0.0032,1.748e-06
43,0.0036,3.403e-06
44,0.004,5.89e-06
45,0.0045,1.04e-05
46,0.005,1.672e-05
47,0.0055,2.51e-05
48,0.006,3.575e-05
49,0.0065,4.887e-05
50,0.007,6.465e-05
51,0.0075,8.325e-05
52,0.008,0.0001048
53,0.0085,0.0001295
54,0.009,0.0001575
55,0.01,0.0002236
56,0.011,0.000304
57,0.012,0.0003994
58,0.013,0.0005103
59,0.014,0.0006372
60,0.015,0.0007803
61,0.016,0.00094
62,0.018,0.00131
63,0.02,0.001746
64,0.022,0.002249
65,0.024,0.002817
66,0.026,0.003449
67,0.028,0.004143
68,0.03,0.004896
69,0.032,0.005706
70,0.036,0.007487
71,0.04,0.009467
72,0.045,0.01219
73,0.05,0.01516
74,0.055,0.01834
75,0.06,0.02171
76,0.065,0.02524
77,0.07,0.02891
78,0.075,0.0327
79,0.08,0.03659
80,0.085,0.04058
81,0.09,0.04463
82,0.1,0.05294
83,0.11,0.06144
84,0.12,0.07007
85,0.13,0.0788
86,0.14,0.08759
87,0.15,0.0964
88,0.16,0.1052
89,0.18,0.1228
90,0.2,0.1403
91,0.22,0.1575
92,0.24,0.1744
93,0.26,0.1911
94,0.28,0.2074
95,0.3,0.2233
96,0.32,0.2388
97,0.36,0.2686
98,0.4,0.2966
99,0.45,0.3291
100,0.5,0.3586
101,0.55,0.3851
102,0.6,0.4084
103,0.65,0.4286
104,0.7,0.4454
105,0.75,0.4591
106,0.8,0.4695
107,0.85,0.4766
108,0.9,0.4806
109,1.0,0.4792
110,1.1,0.4661
111,1.2,0.4422
112,1.3,0.4085
113,1.4,0.3665
114,1.5,0.3181
115,1.6,0.2651
116,1.8,0.1549
117,2.0,0.05857
118,2.2,0.003665
119,2.2603,0.0
