,Energy [MeV],Probability density [#/MeV/nt]
0,0.0,0.0
1,0.0001,3.107e-25
2,0.00011,4.134e-24
3,0.00012,3.952e-23
4,0.00013,2.896e-22
5,0.00014,1.707e-21
6,0.00015,8.403e-21
7,0.00016,3.553e-20
8,0.00018,4.391e-19
9,0.0002,3.684e-18
10,0.00022,2.297e-17
11,0.00024,1.134e-16
12,0.00026,4.641e-16
13,0.00028,1.631e-15
14,0.0003,5.053e-15
15,0.00032,1.409e-14
16,0.00036,8.523e-14
17,0.0004,3.981e-13
18,0.00045,2.097e-12
19,0.0005,8.885e-12
20,0.00055,3.192e-11
21,0.0006,1.006e-10
22,0.00065,2.841e-10
23,0.0007,7.303e-10
24,0.00075,1.728e-09
25,0.0008,3.796e-09
26,0.00085,7.8e-09
27,0.0009,1.509e-08
28,0.001,4.826e-08
29,0.0011,1.292e-07
30,0.0012,2.991e-07
31,0.0013,6.155e-07
32,0.0014,1.15e-06
33,0.0015,1.983e-06
34,0.0016,3.202e-06
35,0.0018,7.146e-06
36,0.002,1.362e-05
37,0.0022,2.317e-05
38,0.0024,3.617e-05
39,0.0026,5.288e-05
40,0.0028,7.346e-05
41,0.003,9.8e-05
42,0.0032,0.0001265
43,0.0036,0.0001953
44,0.004,0.0002794
45,0.0045,0.0004052
46,0.005,0.0005526
47,0.0055,0.0007204
48,0.006,0.0009074
49,0.0065,0.001112
50,0.007,0.001334
51,0.0075,0.001572
52,0.008,0.001826
53,0.0085,0.002093
54,0.009,0.002374
55,0.01,0.002974
56,0.011,0.00362
57,0.012,0.004308
58,0.013,0.005033
59,0.014,0.005791
60,0.015,0.00658
61,0.016,0.007396
62,0.018,0.009098
63,0.02,0.01088
64,0.022,0.01273
65,0.024,0.01463
66,0.026,0.01657
67,0.028,0.01855
68,0.03,0.02056
69,0.032,0.02259
70,0.036,0.0267
71,0.04,0.03086
72,0.045,0.0361
73,0.05,0.04135
74,0.055,0.04659
75,0.06,0.05182
76,0.065,0.05704
77,0.07,0.06222
78,0.075,0.06737
79,0.08,0.0725
80,0.085,0.07759
81,0.09,0.08264
82,0.1,0.09266
83,0.11,0.1025
84,0.12,0.1123
85,0.13,0.122
86,0.14,0.1315
87,0.15,0.1409
88,0.16,0.1503
89,0.18,0.1686
90,0.2,0.1866
91,0.22,0.2043
92,0.24,0.2217
93,0.26,0.2388
94,0.28,0.2555
95,0.3,0.272
96,0.32,0.2882
97,0.36,0.3196
98,0.4,0.3498
99,0.45,0.3857
100,0.5,0.4196
101,0.55,0.4513
102,0.6,0.4807
103,0.65,0.5077
104,0.7,0.5323
105,0.75,0.5543
106,0.8,0.5736
107,0.85,0.5903
108,0.9,0.6043
109,1.0,0.624
110,1.1,0.632
111,1.2,0.6285
112,1.3,0.6137
113,1.4,0.5881
114,1.5,0.5527
115,1.6,0.5084
116,1.8,0.3988
117,2.0,0.2732
118,2.2,0.1496
119,2.4,0.05015
120,2.6,0.001173
121,2.63337,0.0
