,Energy [MeV],Probability density [#/MeV/nt]
0,0.0,0.0
1,0.0001,0.0
2,0.00011,0.0
3,0.00012,0.0
4,0.00013,0.0
5,0.00014,0.0
6,0.00015,0.0
7,0.00016,0.0
8,0.00018,0.0
9,0.0002,0.0
10,0.00022,0.0
11,0.00024,9.145e-28
12,0.00026,1.112e-26
13,0.00028,1.05e-25
14,0.0003,8.101e-25
15,0.00032,5.293e-24
16,0.00036,1.533e-22
17,0.0004,2.997e-21
18,0.00045,8.139e-20
19,0.0005,1.529e-18
20,0.00055,2.098e-17
21,0.0006,2.18e-16
22,0.00065,1.763e-15
23,0.0007,1.139e-14
24,0.00075,6.022e-14
25,0.0008,2.665e-13
26,0.00085,1.009e-12
27,0.0009,3.329e-12
28,0.001,2.565e-11
29,0.0011,1.365e-10
30,0.0012,5.461e-10
31,0.0013,1.75e-09
32,0.0014,4.709e-09
33,0.0015,1.103e-08
34,0.0016,2.309e-08
35,0.0018,7.822e-08
36,0.002,2.058e-07
37,0.0022,4.521e-07
38,0.0024,8.708e-07
39,0.0026,1.518e-06
40,0.0028,2.45e-06
41,0.003,3.721e-06
42,0.0032,5.383e-06
43,0.0036,1.006e-05
44,0.004,1.683e-05
45,0.0045,2.866e-05
46,0.005,4.464e-05
47,0.0055,6.518e-05
48,0.006,9.058e-05
49,0.0065,0.0001211
50,0.007,0.000157
51,0.0075,0.0001985
52,0.008,0.0002458
53,0.0085,0.0002989
54,0.009,0.0003581
55,0.01,0.0004949
56,0.011,0.000657
57,0.012,0.0008446
58,0.013,0.001058
59,0.014,0.001297
60,0.015,0.001562
61,0.016,0.001852
62,0.018,0.002508
63,0.02,0.003261
64,0.022,0.004106
65,0.024,0.00504
66,0.026,0.006056
67,0.028,0.00715
68,0.03,0.008317
69,0.032,0.009552
70,0.036,0.01221
71,0.04,0.01508
72,0.045,0.01894
73,0.05,0.02304
74,0.055,0.02733
75,0.06,0.03179
76,0.065,0.03638
77,0.07,0.04108
78,0.075,0.04585
79,0.08,0.0507
80,0.085,0.05559
81,0.09,0.06052
82,0.1,0.07045
83,0.11,0.08042
84,0.12,0.09037
85,0.13,0.1003
86,0.14,0.1101
87,0.15,0.1198
88,0.16,0.1294
89,0.18,0.1482
90,0.2,0.1664
91,0.22,0.184
92,0.24,0.2009
93,0.26,0.2173
94,0.28,0.233
95,0.3,0.248
96,0.32,0.2625
97,0.36,0.2896
98,0.4,0.3146
99,0.45,0.343
100,0.5,0.3687
101,0.55,0.3923
102,0.6,0.4141
103,0.65,0.433
104,0.7,0.4491
105,0.75,0.4625
106,0.8,0.4733
107,0.85,0.4817
108,0.9,0.4881
109,1.0,0.4939
110,1.1,0.489
111,1.2,0.4742
112,1.3,0.4504
113,1.4,0.4187
114,1.5,0.3802
115,1.6,0.3355
116,1.8,0.2342
117,2.0,0.1307
118,2.2,0.04513
119,2.4,0.001352
120,2.43843,0.0
